"","id","trial","x","y","z","kernel","scenario","horizon","round","chosen","overall","Horizon"
"1",1,1,6,4,77.7374692379335,"Rough","Avg. Reward Condition",20,"1",51,1,"Short"
"2",1,2,3,2,41.5227672023987,"Rough","Avg. Reward Condition",20,"1",26,1,"Short"
"3",1,3,1,6,4.45883887214333,"Rough","Avg. Reward Condition",20,"1",68,1,"Short"
"4",1,4,7,4,73.3248485001287,"Rough","Avg. Reward Condition",20,"1",52,1,"Short"
"5",1,5,7,5,82.9053550398923,"Rough","Avg. Reward Condition",20,"1",63,1,"Short"
"6",1,6,6,5,64.8120312113293,"Rough","Avg. Reward Condition",20,"1",62,1,"Short"
"7",1,7,8,4,65.4001551521178,"Rough","Avg. Reward Condition",20,"1",53,1,"Short"
"8",1,8,9,5,25.1177423961982,"Rough","Avg. Reward Condition",20,"1",65,1,"Short"
"9",1,9,0,9,66.1261892289375,"Rough","Avg. Reward Condition",20,"1",100,1,"Short"
"10",1,10,4,4,9.99263596424557,"Rough","Avg. Reward Condition",20,"1",49,1,"Short"
"11",1,11,8,5,62.1217741531308,"Rough","Avg. Reward Condition",20,"1",64,1,"Short"
"12",1,12,9,9,85.2726059415545,"Rough","Avg. Reward Condition",20,"1",109,1,"Short"
"13",1,13,7,3,80.7703625318279,"Rough","Avg. Reward Condition",20,"1",41,1,"Short"
"14",1,14,6,3,86.4985901727727,"Rough","Avg. Reward Condition",20,"1",40,1,"Short"
"15",1,15,10,9,46.6801278336504,"Rough","Avg. Reward Condition",20,"1",110,1,"Short"
"16",1,16,8,3,65.6372493724856,"Rough","Avg. Reward Condition",20,"1",42,1,"Short"
"17",1,17,6,0,27.3009941701534,"Rough","Avg. Reward Condition",20,"1",7,1,"Short"
"18",1,18,5,3,50.6291385823162,"Rough","Avg. Reward Condition",20,"1",39,1,"Short"
"19",1,19,10,4,53.8434324955223,"Rough","Avg. Reward Condition",20,"1",55,1,"Short"
"20",1,20,0,8,57.2031215387433,"Rough","Avg. Reward Condition",20,"1",89,1,"Short"
"21",1,21,9,10,65.8121215823365,"Rough","Avg. Reward Condition",20,"1",120,1,"Short"
"22",1,1,5,6,49.4392607625957,"Rough","Avg. Reward Condition",40,"2",72,2,"Long"
"23",1,2,8,5,25.4104652088754,"Rough","Avg. Reward Condition",40,"2",64,2,"Long"
"24",1,3,3,1,47.2843944908468,"Rough","Avg. Reward Condition",40,"2",15,2,"Long"
"25",1,4,10,9,24.963535638827,"Rough","Avg. Reward Condition",40,"2",110,2,"Long"
"26",1,5,6,9,46.6920205360619,"Rough","Avg. Reward Condition",40,"2",106,2,"Long"
"27",1,6,3,6,2.87635542151745,"Rough","Avg. Reward Condition",40,"2",70,2,"Long"
"28",1,7,3,9,46.9814894388447,"Rough","Avg. Reward Condition",40,"2",103,2,"Long"
"29",1,8,7,3,55.8044866187351,"Rough","Avg. Reward Condition",40,"2",41,2,"Long"
"30",1,9,8,3,49.8615329660386,"Rough","Avg. Reward Condition",40,"2",42,2,"Long"
"31",1,10,5,2,64.0266563277365,"Rough","Avg. Reward Condition",40,"2",28,2,"Long"
"32",1,11,7,7,41.1147763409862,"Rough","Avg. Reward Condition",40,"2",85,2,"Long"
"33",1,12,9,4,34.9976006588863,"Rough","Avg. Reward Condition",40,"2",54,2,"Long"
"34",1,13,1,6,53.3162074134113,"Rough","Avg. Reward Condition",40,"2",68,2,"Long"
"35",1,14,1,0,40.8488487494804,"Rough","Avg. Reward Condition",40,"2",2,2,"Long"
"36",1,15,8,7,44.4895686177393,"Rough","Avg. Reward Condition",40,"2",86,2,"Long"
"37",1,16,4,8,79.4784884383396,"Rough","Avg. Reward Condition",40,"2",93,2,"Long"
